"id","name","shortdesc","longdesc","thumbnail","image","grouping","status","category_id","featured","price"
"1","Game 1","This is a very good game.","What a product! You'll love the way your kids will play with this game all day long. It's terrific!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","","active","6","true","19.95"
"2","Game 2","This is a very good game.","What a product! You'll love the way your kids will play with this game all day long. It's terrific!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","3","true","19.95"
"3","Game 3","This is a very good game.","What a product! You'll love the way your kids will play with this game all day long. It's terrific!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","1","true","39.95"
"4","Toy 1","This is a very good toy.","What a product! You'll love the way your kids will play with this game all day long. It's terrific!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","1","true","9.95"
"5","Toy 2","This is a very good toy.","What a product! You'll love the way your kids will play with this game all day long. It's terrific!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","6","false","23.95"
"6","Shoes 1","This is a very good pair of shoes.","These shoes will last forever!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","6","true","23.95"
"7","Shoes 2","This is a very good pair of shoes.","These shoes will last forever!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","1","false","23.95"
"8","Shirt 1","Nice shirt!","A stylish shirt for school!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","2","true","23.95"
"9","Shirt 2","Nice shirt!","A stylish shirt for school!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","2","false","23.95"
"10","Dress 1","Nice dress!","A stylish dress just in time for school!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","2","true","33.95"
"11","Dress 2","Nice dress!","A stylish dress just in time for school!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","2","true","43.95"
"12","Pants 1","Nice pair of pants!","A stylish pair of pants just in time for school!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","blob","active","3","true","33.95"
"13","test123","test!!","test!!!!","/images/dummy-thumb.jpg","/images/dummy-main.jpg","xyz","active","1","false","10.95"
"14","Long-sleeved t-shirt","Very comfy!","A great t-shirt for cold autumn days.","/images/dummy-thumb1.jpg","/images/dummy-main1.jpg","blah","active","2","true","29.95"
"15","Shoes Testing","test","test","/images/dummy-thumb4.jpg","/images/dummy-main4.jpg","adfasdf","active","1","true","1.29"
"16","afd","afd","adfds","","","aasdfd","active","1","","5.99"
"17","Adidas","shoe","shoe","","","","active","1","","99.99"
"18","Otto","stylish shirt","Otto is the stylish shirts","","","","active","2","","99.99"
